ggj2016,118.0,3883535
g+j2016,875.4,79243357
qcd2016,117200,20622034
wg2016,191.6,25918966
zg2016,55.48,30490034
tt2016,815.96,154280331
aqgc2016,3.86e-5,300000
ggj2017,118.0,3883535
g+j2017,875.4,79243357
qcd2017,117200,20622034
wg2017,191.6,25918966
zg2017,55.48,30490034
tt2017,815.96,154280331
aqgc2017,3.86e-5,300000
ggj2018,118.0,3760030
g+j2018,875.4,10205533
qcd2018,117200,10895375
wg2018,191.6,27933663
zg2018,55.48,13946364
tt2018,815.96,304627424
aqgc2018,3.86e-5,300000
